Game,Japan Sales,GameID,Pos,PAL Sales,Other Sales,NA Sales,Metacritic Score,Total Sales,User Score
1080° Avalanche,,1080° Avalanche | GCN,566,,,,,,
Mortal Kombat,,Mortal Kombat | PS3,132,0.31,0.19,1.06,84.0,1.56,8.4
Mortal Kombat (2011),,Mortal Kombat (2011) | PS3,56,0.54,0.38,1.98,,2.9,
Mortal Kombat vs DC Universe,,Mortal Kombat vs DC Universe | PS3,96,0.29,0.25,1.51,,2.05,
Mortal Kombat X,,Mortal Kombat X | PS3,1666,,,,,,
Mortal Kombat: HD Arcade Collection,,Mortal Kombat: HD Arcade Collection | PS3,1667,,,,,,
MotionSports: Adrenaline,,MotionSports: Adrenaline | PS3,900,0.05,0.03,0.08,,0.16,
MotoGP 08,,MotoGP 08 | PS3,574,0.24,0.08,0.07,65.0,0.39,6.0
MotoGP 09/10,,MotoGP 09/10 | PS3,768,0.13,0.04,0.05,70.0,0.22,5.4
MotoGP 10/11,,MotoGP 10/11 | PS3,868,0.1,0.03,0.04,68.0,0.17,6.1
MOTOGP 13,,MOTOGP 13 | PS3,1671,,,,,,
MotoGP 14,,MotoGP 14 | PS3,967,0.05,0.02,0.05,,0.12,
MotoGP 15,0.04,MotoGP 15 | PS3,1132,0.02,,,,0.06,
Motorbike,,Motorbike | PS3,1672,,,,17.0,,1.3
MotorStorm,0.06,MotorStorm | PS3,41,1.61,0.67,1.53,84.0,3.87,7.4
MotorStorm Complete,0.01,MotorStorm Complete | PS3,1375,,,,,0.01,
MotorStorm: Apocalypse,,MotorStorm: Apocalypse | PS3,494,0.2,0.08,0.21,77.0,0.49,7.7
MotorStorm: Pacific Rift,0.02,MotorStorm: Pacific Rift | PS3,159,0.66,0.25,0.43,82.0,1.36,8.0
Motto! SoniComi,0.02,Motto! SoniComi | PS3,1275,,,,,0.02,
MouseCraft,,MouseCraft | PS3,1673,,,,,,6.7
Ms. Germinator,,Ms. Germinator | PS3,1675,,,,,,
Mugen Kairou: Hikari to Kage no Hako,,Mugen Kairou: Hikari to Kage no Hako | PS3,1676,,,,,,
Murdered: Soul Suspect,0.02,Murdered: Soul Suspect | PS3,928,0.05,0.02,0.05,,0.14,7.2
Musou Orochi Z,0.23,Musou Orochi Z | PS3,756,,,,,0.23,
Muv-Luv,0.01,Muv-Luv | PS3,1355,,,,,0.01,
Muv-Luv Alternative,0.01,Muv-Luv Alternative | PS3,1343,,,,,0.01,
Muv-Luv Alternative: Total Eclipse,0.03,Muv-Luv Alternative: Total Eclipse | PS3,1246,,,,,0.03,
Muv-luv Photonflowers,0.01,Muv-luv Photonflowers | PS3,1358,,,,,0.01,
Muv-luv Photonmelodies,0.01,Muv-luv Photonmelodies | PS3,1349,,,,,0.01,
MW Classic by Zynga,,MW Classic by Zynga | PS3,1677,,,,,,
Mx vs. ATV Reflex,,Mx vs. ATV Reflex | PS3,283,0.26,0.13,0.52,,0.91,
MX vs. ATV Supercross,,MX vs. ATV Supercross | PS3,1254,0.01,,0.02,,0.03,
MX vs. ATV Untamed,,MX vs. ATV Untamed | PS3,512,0.06,0.05,0.35,67.0,0.46,6.1
MX vs. ATV: Alive,,MX vs. ATV: Alive | PS3,507,0.15,0.07,0.24,,0.46,
My Fitness Coach: Club,,My Fitness Coach: Club | PS3,963,0.11,0.02,,,0.13,
MySims SkyHeroes,,MySims SkyHeroes | PS3,966,0.02,0.02,0.09,62.0,0.12,
nail'd,,nail'd | PS3,980,0.02,0.02,0.08,66.0,0.12,6.2
Narco Terror,,Narco Terror | PS3,1678,,,,55.0,,4.8
Naruto Shippuden: Ultimate Ninja Storm 2,0.15,Naruto Shippuden: Ultimate Ninja Storm 2 | PS3,191,0.47,0.17,0.42,76.0,1.21,8.3
Naruto Shippuden: Ultimate Ninja Storm 3,0.15,Naruto Shippuden: Ultimate Ninja Storm 3 | PS3,259,0.36,0.13,0.32,77.0,0.97,7.9
Naruto Shippuden: Ultimate Ninja Storm Collection,,Naruto Shippuden: Ultimate Ninja Storm Collection | PS3,1333,0.01,,,,0.01,
Naruto Shippuden: Ultimate Ninja STORM Generations,0.14,Naruto Shippuden: Ultimate Ninja STORM Generations | PS3,355,0.25,0.09,0.27,,0.74,
Naruto Shippuden: Ultimate Ninja Storm Revolution,0.09,Naruto Shippuden: Ultimate Ninja Storm Revolution | PS3,514,0.15,0.06,0.16,73.0,0.45,7.4
Naruto: Ultimate Ninja Storm,0.09,Naruto: Ultimate Ninja Storm | PS3,228,0.34,0.15,0.49,75.0,1.07,8.4
NASCAR 08,,NASCAR 08 | PS3,754,0.05,0.03,0.15,57.0,0.23,4.9
NASCAR 09,,NASCAR 09 | PS3,712,0.01,0.02,0.22,65.0,0.25,7.5
NASCAR '14,,NASCAR '14 | PS3,1009,,0.02,0.09,67.0,0.11,4.8
NASCAR '15,,NASCAR '15 | PS3,1405,,,,,,8.0
NASCAR 2011: The Game,,NASCAR 2011: The Game | PS3,686,,0.02,0.25,62.0,0.27,4.4
NASCAR The Game: Inside Line,,NASCAR The Game: Inside Line | PS3,1059,,0.02,0.07,76.0,0.09,4.9
Nascar Unleashed,,Nascar Unleashed | PS3,1032,,0.01,0.09,,0.1,
NatGeo Challenge! Wild Life,,NatGeo Challenge! Wild Life | PS3,1036,0.03,0.01,0.05,,0.1,
National Geographic Challenge!,,National Geographic Challenge! | PS3,1182,0.03,0.01,0.01,,0.04,
Natsuiro High School: Seishun Hakusho,0.02,Natsuiro High School: Seishun Hakusho | PS3,1300,,,,,0.02,
Natural Doctrine,0.01,Natural Doctrine | PS3,1161,0.01,0.01,0.03,,0.05,7.5
Naughty Bear,,Naughty Bear | PS3,529,0.18,0.07,0.18,43.0,0.44,5.7
Naughty Bear 2,,Naughty Bear 2 | PS3,1416,,,,,,
Naughty Bear Gold Edition,,Naughty Bear Gold Edition | PS3,1679,,,,,,
NBA 07,0.01,NBA 07 | PS3,692,,0.02,0.24,63.0,0.27,6.3
NBA 08,,NBA 08 | PS3,949,,0.01,0.12,63.0,0.13,6.0
NBA 09: The Inside,,NBA 09: The Inside | PS3,906,,0.01,0.14,,0.15,
NBA 2K10,0.01,NBA 2K10 | PS3,311,0.01,0.07,0.75,83.0,0.84,7.8
NBA 2K11,0.03,NBA 2K11 | PS3,116,0.21,0.16,1.41,89.0,1.81,7.6
NBA 2K12,0.05,NBA 2K12 | PS3,90,0.27,0.18,1.62,90.0,2.13,6.7
NBA 2K13,0.05,NBA 2K13 | PS3,66,0.46,0.39,1.74,90.0,2.63,7.9
NBA 2K14,0.04,NBA 2K14 | PS3,88,0.34,0.39,1.45,84.0,2.22,5.0
NBA 2K15,0.02,NBA 2K15 | PS3,157,0.22,0.24,0.88,,1.36,3.5
NBA 2K16,0.05,NBA 2K16 | PS3,333,0.12,0.13,0.49,,0.79,4.6
NBA 2K17,0.02,NBA 2K17 | PS3,611,0.11,0.05,0.16,,0.34,1.7
NBA 2K18,0.01,NBA 2K18 | PS3,1111,0.01,0.01,0.05,,0.07,1.1
NBA 2K7,,NBA 2K7 | PS3,581,0.04,0.03,0.3,80.0,0.38,7.4
NBA 2K8,,NBA 2K8 | PS3,455,0.01,0.05,0.5,81.0,0.55,6.8
NBA 2K9,,NBA 2K9 | PS3,413,,0.05,0.56,82.0,0.62,7.1
NBA Ballers: Chosen One,,NBA Ballers: Chosen One | PS3,911,,0.02,0.13,54.0,0.15,6.5
NBA Jam,,NBA Jam | PS3,553,0.12,0.06,0.22,71.0,0.4,5.9
NBA Live 08,0.01,NBA Live 08 | PS3,402,0.02,0.05,0.56,73.0,0.63,6.8
NBA Live 09,0.02,NBA Live 09 | PS3,475,,0.04,0.46,75.0,0.52,7.8
NBA Live 10,0.01,NBA Live 10 | PS3,463,0.03,0.05,0.46,81.0,0.54,7.5
NBA Street Homecourt,,NBA Street Homecourt | PS3,880,0.01,0.02,0.13,81.0,0.17,6.2
NCAA Basketball 09,,NCAA Basketball 09 | PS3,882,,0.01,0.15,68.0,0.17,
NCAA Basketball 10,,NCAA Basketball 10 | PS3,621,,0.03,0.31,75.0,0.33,7.8
NCAA Football 08,,NCAA Football 08 | PS3,579,,0.03,0.35,77.0,0.38,7.9
NCAA Football 09,,NCAA Football 09 | PS3,435,,0.05,0.54,81.0,0.58,7.3
NCAA Football 10,,NCAA Football 10 | PS3,329,,0.06,0.75,80.0,0.81,6.9
NCAA Football 11,,NCAA Football 11 | PS3,308,,0.06,0.79,85.0,0.85,7.5
NCAA Football 12,,NCAA Football 12 | PS3,316,,0.06,0.78,82.0,0.83,5.8
NCAA Football 13,,NCAA Football 13 | PS3,276,,0.11,0.82,79.0,0.93,4.1
NCAA Football 14,,NCAA Football 14 | PS3,277,,0.17,0.75,77.0,0.92,6.2
NCAA March Madness 08,,NCAA March Madness 08 | PS3,1045,,0.01,0.08,67.0,0.09,3.8
NCIS,,NCIS | PS3,974,0.04,0.02,0.07,50.0,0.12,5.2
Need for Speed Carbon,0.03,Need for Speed Carbon | PS3,187,0.51,0.2,0.49,75.0,1.23,7.3
Need for Speed Rivals,0.05,Need for Speed Rivals | PS3,178,0.69,0.19,0.33,,1.27,
Need for Speed: Hot Pursuit,0.03,Need for Speed: Hot Pursuit | PS3,59,1.24,0.49,1.05,89.0,2.81,7.3
Need for Speed: Most Wanted (2012),0.06,Need for Speed: Most Wanted (2012) | PS3,62,1.52,0.45,0.71,,2.74,
Need for Speed: ProStreet,0.04,Need for Speed: ProStreet | PS3,98,0.91,0.36,0.73,,2.04,
Need for Speed: Shift,0.04,Need for Speed: Shift | PS3,65,1.4,0.52,0.69,84.0,2.65,7.0
Need for Speed: Shift 2 Unleashed,,Need for Speed: Shift 2 Unleashed | PS3,377,0.36,0.12,0.2,,0.67,
Need for Speed: The Run,0.03,Need for Speed: The Run | PS3,101,1.05,0.35,0.58,64.0,2.01,6.3
Need for Speed: Undercover,0.05,Need for Speed: Undercover | PS3,95,1.01,0.38,0.63,,2.06,
NeverDead,0.01,NeverDead | PS3,961,0.04,0.02,0.06,50.0,0.13,5.0
New Hayarigami,0.04,New Hayarigami | PS3,1187,,,,,0.04,
Next Hatsune Miku: Project Diva,0.19,Next Hatsune Miku: Project Diva | PS3,671,,0.02,0.08,,0.28,
NFL Head Coach 09,,NFL Head Coach 09 | PS3,923,,0.01,0.13,64.0,0.14,7.1
NFL Tour,,NFL Tour | PS3,987,0.01,0.01,0.1,45.0,0.12,
NHL 08,,NHL 08 | PS3,714,0.06,0.03,0.16,86.0,0.25,6.9
NHL 09,,NHL 09 | PS3,618,0.02,0.03,0.29,88.0,0.34,7.7
NHL 10,,NHL 10 | PS3,444,0.12,0.07,0.38,88.0,0.57,7.9
NHL 11,,NHL 11 | PS3,425,0.13,0.07,0.4,88.0,0.59,7.2
NHL 12,,NHL 12 | PS3,436,0.16,0.07,0.36,86.0,0.58,7.5
NHL 13,,NHL 13 | PS3,386,0.23,0.1,0.33,84.0,0.66,6.8
NHL 14,,NHL 14 | PS3,449,0.19,0.1,0.28,80.0,0.57,6.1
NHL 15,,NHL 15 | PS3,583,0.09,0.07,0.22,,0.37,1.6
NHL 16,,NHL 16 | PS3,1321,0.01,,,,0.01,
NHL 2K10,,NHL 2K10 | PS3,905,0.01,0.01,0.13,66.0,0.15,7.1
NHL 2K7,,NHL 2K7 | PS3,964,,0.01,0.11,79.0,0.13,6.6
NHL 2K8,,NHL 2K8 | PS3,1048,0.01,0.01,0.08,74.0,0.09,
NHL 2K9,,NHL 2K9 | PS3,945,0.01,0.01,0.11,70.0,0.13,
NHL Legacy,,NHL Legacy | PS3,1100,,0.01,0.06,,0.07,
Ni no Kuni: Wrath of the White Witch,0.21,Ni no Kuni: Wrath of the White Witch | PS3,135,0.51,0.22,0.6,85.0,1.54,8.7
Nicktoons MLB 3D,0.5,Nicktoons MLB 3D | PS3,437,0.02,0.01,0.05,,0.58,
NieR,0.2,NieR | PS3,407,0.19,0.07,0.17,,0.63,
Nights of Azure,,Nights of Azure | PS3,1683,,,,,,
Ninja Gaiden 3,0.11,Ninja Gaiden 3 | PS3,520,0.09,0.05,0.19,58.0,0.44,5.0
Ninja Gaiden 3: Razor's Edge,,Ninja Gaiden 3: Razor's Edge | PS3,1887,,,,67.0,,7.3
Ninja Gaiden Sigma,0.09,Ninja Gaiden Sigma | PS3,204,0.32,0.16,0.57,88.0,1.15,7.5
Ninja Gaiden Sigma 2,0.08,Ninja Gaiden Sigma 2 | PS3,305,0.16,0.1,0.52,83.0,0.85,7.7
Nitroplus Blasterz: Heroines Infinite Duel,0.02,Nitroplus Blasterz: Heroines Infinite Duel | PS3,1298,,,,,0.02,
No More Heroes: Heroes' Paradise,0.04,No More Heroes: Heroes' Paradise | PS3,815,0.04,0.02,0.1,,0.2,
No More Heroes: Red Zone,0.09,No More Heroes: Red Zone | PS3,1061,,,,,0.09,
Nobunaga no Yabou Online: Houou no Shou,0.01,Nobunaga no Yabou Online: Houou no Shou | PS3,1319,,,,,0.01,
Nobunaga no Yabou Online: Shinsei no Shou,,Nobunaga no Yabou Online: Shinsei no Shou | PS3,1685,,,,,,
Nobunaga no Yabou: Souzou,0.19,Nobunaga no Yabou: Souzou | PS3,820,,,,,0.19,
Nobunaga no Yabou: Tendou,0.13,Nobunaga no Yabou: Tendou | PS3,937,,,,,0.13,
Nobunaga no Yabou: Tendou with Power-Up Kit,0.07,Nobunaga no Yabou: Tendou with Power-Up Kit | PS3,1127,,,,,0.07,
Nobunaga's Ambition: Creation,,Nobunaga's Ambition: Creation | PS3,1686,,,,,,
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,0.05,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden | PS3,1155,,,,,0.05,
NPPL Championship Paintball 2009,,NPPL Championship Paintball 2009 | PS3,886,,0.02,0.15,45.0,0.16,7.4
Nurarihyon no Mago: Hyakki Ryouran Taisen,0.02,Nurarihyon no Mago: Hyakki Ryouran Taisen | PS3,1315,,,,,0.02,
Oddworld: Abe's Oddysee New N' Tasty!,,Oddworld: Abe's Oddysee New N' Tasty! | PS3,1687,,,,,,
Odin Sphere: Leifthrasir,0.04,Odin Sphere: Leifthrasir | PS3,1033,0.02,0.01,0.03,,0.1,
Of Orcs and Men,,Of Orcs and Men | PS3,1382,,,,57.0,,6.3
Off-Road Drive,,Off-Road Drive | PS3,1689,,,,,,
Okami HD,0.14,Okami HD | PS3,925,,,,90.0,0.14,8.9
OlliOlli,,OlliOlli | PS3,1690,,,,,,
One Piece Pirate Warriors,0.86,One Piece Pirate Warriors | PS3,199,0.24,0.06,0.01,,1.17,
One Piece Unlimited World: Red,0.06,One Piece Unlimited World: Red | PS3,666,0.1,0.04,0.09,,0.29,
One Piece: Pirate Warriors 2,0.42,One Piece: Pirate Warriors 2 | PS3,390,0.21,0.03,,71.0,0.66,7.9
One Piece: Pirate Warriors 3,0.2,One Piece: Pirate Warriors 3 | PS3,693,0.06,0.01,,,0.27,4.3
Onechanbara Z Kagura,0.03,Onechanbara Z Kagura | PS3,1219,,,,,0.03,
Operation Flashpoint: Dragon Rising,0.05,Operation Flashpoint: Dragon Rising | PS3,282,0.46,0.17,0.23,76.0,0.91,6.5
Operation Flashpoint: Red River,0.07,Operation Flashpoint: Red River | PS3,633,0.14,0.05,0.06,67.0,0.32,6.3
Orc Attack: Flatulent Rebellion,,Orc Attack: Flatulent Rebellion | PS3,1692,,,,,,6.4
Order Up!!,,Order Up!! | PS3,1087,0.01,0.01,0.06,55.0,0.08,
Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD,0.04,Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD | PS3,1185,,,,,0.04,
Oretachi ni Tsubasa wa Nai,,Oretachi ni Tsubasa wa Nai | PS3,1693,,,,,,
Outdoors Unlimited,,Outdoors Unlimited | PS3,1694,,,,,,
Overlord II,,Overlord II | PS3,643,0.15,0.05,0.11,72.0,0.32,7.6
Overlord: Raising Hell,,Overlord: Raising Hell | PS3,976,0.04,0.02,0.07,72.0,0.12,7.8
Overstrike,,Overstrike | PS3,975,0.04,0.02,0.06,,0.12,
PachiPara 15: Super Umi Monogatari in Okinawa 2,0.02,PachiPara 15: Super Umi Monogatari in Okinawa 2 | PS3,1281,,,,,0.02,
PachiPara 16: Gingira Paradise 2,,PachiPara 16: Gingira Paradise 2 | PS3,1696,,,,,,
PachiPara 17: Shinkai Monogatari with Agnes Ram,,PachiPara 17: Shinkai Monogatari with Agnes Ram | PS3,1697,,,,,,
PAC-MAN and the Ghostly Adventures,,PAC-MAN and the Ghostly Adventures | PS3,1079,0.04,0.01,0.03,,0.08,
Pac-Man and the Ghostly Adventures 2,,Pac-Man and the Ghostly Adventures 2 | PS3,1008,0.03,0.02,0.06,59.0,0.11,6.3
PAIN,,PAIN | PS3,1369,0.01,,,71.0,0.01,6.3
Painkiller: Hell & Damnation,,Painkiller: Hell & Damnation | PS3,1190,0.02,0.01,0.02,40.0,0.04,6.6
Payday 2,,Payday 2 | PS3,504,0.15,0.08,0.24,74.0,0.47,6.1
PDC World Championship Darts: Pro Tour,,PDC World Championship Darts: Pro Tour | PS3,1019,0.08,0.02,,,0.1,
Persona 4 Arena,0.24,Persona 4 Arena | PS3,341,0.12,0.08,0.32,86.0,0.76,7.9
Persona 4 Arena Ultimax,0.13,Persona 4 Arena Ultimax | PS3,933,,,,84.0,0.14,7.9
Persona 5,0.14,Persona 5 | PS3,760,0.02,0.02,0.06,,0.23,8.9
PES 2009: Pro Evolution Soccer,0.4,PES 2009: Pro Evolution Soccer | PS3,92,1.34,0.26,0.11,,2.11,
Phantom Breaker,0.01,Phantom Breaker | PS3,1368,,,,,0.01,
Phineas and Ferb: Across the 2nd Dimension,,Phineas and Ferb: Across the 2nd Dimension | PS3,639,0.12,0.05,0.15,63.0,0.32,6.8
Pictionary: Ultimate Edition,,Pictionary: Ultimate Edition | PS3,737,0.06,0.04,0.15,62.0,0.24,
Pier Solar and the Great Architects,,Pier Solar and the Great Architects | PS3,1699,,,,,,5.5
Pinball Hall of Fame: The Williams Collection,,Pinball Hall of Fame: The Williams Collection | PS3,772,,0.02,0.2,82.0,0.22,7.9
Pirates of the Caribbean: At World's End,,Pirates of the Caribbean: At World's End | PS3,357,0.41,0.15,0.17,55.0,0.73,7.0
Planet 51,,Planet 51 | PS3,1000,0.03,0.01,0.07,50.0,0.11,
Plants vs Zombies: Garden Warfare,0.01,Plants vs Zombies: Garden Warfare | PS3,384,0.32,0.11,0.22,,0.66,7.9
Plants vs. Zombies,,Plants vs. Zombies | PS3,791,,0.03,0.18,85.0,0.21,7.9
PlayStation All-Stars Battle Royale,0.04,PlayStation All-Stars Battle Royale | PS3,253,0.28,0.16,0.5,74.0,0.99,7.4
PlayStation Move Heroes,,PlayStation Move Heroes | PS3,844,0.06,0.03,0.09,53.0,0.18,6.1
Port Royale 3,,Port Royale 3 | PS3,1093,,0.01,0.06,,0.08,
Portal,,Portal | PS3,1705,,,,,,
Portal 2,0.02,Portal 2 | PS3,121,0.62,0.24,0.83,95.0,1.71,8.5
Power Gig: Rise of the SixString,,Power Gig: Rise of the SixString | PS3,924,,0.01,0.13,36.0,0.14,0.5
Power Smash: Live Match!,0.01,Power Smash: Live Match! | PS3,1363,,,,,0.01,
Prey 2,,Prey 2 | PS3,1707,,,,,,
Prince of Persia,0.03,Prince of Persia | PS3,226,0.41,0.17,0.47,85.0,1.07,7.3
Prince of Persia (2008),,Prince of Persia (2008) | PS3,1708,,,,,,
Prince of Persia Trilogy,,Prince of Persia Trilogy | PS3,483,0.24,0.09,0.17,,0.51,
Prince of Persia: The Forgotten Sands,0.01,Prince of Persia: The Forgotten Sands | PS3,373,0.36,0.12,0.19,75.0,0.69,7.4
Prison Break: The Conspiracy,,Prison Break: The Conspiracy | PS3,717,0.16,0.05,0.05,42.0,0.25,3.9
Pro Angler Moves,,Pro Angler Moves | PS3,1323,,,0.01,,0.01,
Pro Baseball Spirits 2015,0.16,Pro Baseball Spirits 2015 | PS3,895,,,,,0.16,
Pro Evolution Soccer 2008,0.32,Pro Evolution Soccer 2008 | PS3,130,1.1,0.13,0.04,74.0,1.59,6.1
Pro Evolution Soccer 2010,0.46,Pro Evolution Soccer 2010 | PS3,83,1.27,0.26,0.3,78.0,2.28,6.7
Pro Evolution Soccer 2011,0.54,Pro Evolution Soccer 2011 | PS3,75,1.18,0.41,0.29,77.0,2.41,6.8
Pro Evolution Soccer 2012,0.55,Pro Evolution Soccer 2012 | PS3,89,0.97,0.32,0.34,80.0,2.19,6.7
Pro Evolution Soccer 2013,0.49,Pro Evolution Soccer 2013 | PS3,137,0.65,0.2,0.18,82.0,1.52,6.8
Pro Evolution Soccer 2014,0.51,Pro Evolution Soccer 2014 | PS3,225,0.46,0.08,0.03,78.0,1.08,4.0
Pro Evolution Soccer 2015,0.23,Pro Evolution Soccer 2015 | PS3,432,0.2,0.06,0.1,,0.59,7.6
Pro Evolution Soccer 2016,0.16,Pro Evolution Soccer 2016 | PS3,527,0.12,0.05,0.11,,0.44,7.0
Pro Evolution Soccer 2017,0.08,Pro Evolution Soccer 2017 | PS3,680,0.12,0.03,0.04,,0.27,6.4
Pro Evolution Soccer 2018,0.03,Pro Evolution Soccer 2018 | PS3,1097,0.03,0.01,0.01,,0.08,4.4
Pro Yaky? Spirits 2014,0.14,Pro Yaky? Spirits 2014 | PS3,927,,,,,0.14,
Pro Yakyuu Spirits 2010,0.21,Pro Yakyuu Spirits 2010 | PS3,792,,,,,0.21,
Pro Yakyuu Spirits 2011,0.18,Pro Yakyuu Spirits 2011 | PS3,847,,,,,0.18,
Pro Yakyuu Spirits 2012,0.19,Pro Yakyuu Spirits 2012 | PS3,837,,,,,0.19,
Pro Yakyuu Spirits 2013,0.2,Pro Yakyuu Spirits 2013 | PS3,808,,,,,0.2,
Pro Yakyuu Spirits 4,0.07,Pro Yakyuu Spirits 4 | PS3,1130,,,,,0.07,
Pro Yakyuu Spirits 5,0.11,Pro Yakyuu Spirits 5 | PS3,998,,,,,0.11,
Pro Yakyuu Spirits 5 Kanzenban,0.03,Pro Yakyuu Spirits 5 Kanzenban | PS3,1235,,,,,0.03,
Pro Yakyuu Spirits 6,0.15,Pro Yakyuu Spirits 6 | PS3,913,,,,,0.15,
ProBaseball:Unlimited,,ProBaseball:Unlimited | PS3,1709,,,,,,
Professional Farmer 2016,,Professional Farmer 2016 | PS3,1387,,,,,,
Professional Lumberjack 2016,,Professional Lumberjack 2016 | PS3,1710,,,,,,
Project A16 (Atelier),,Project A16 (Atelier) | PS3,1711,,,,,,
Project CARS,,Project CARS | PS3,1712,,,,,,
Project Versus J,0.2,Project Versus J | PS3,614,0.05,0.02,0.07,,0.34,
Prototype 2,,Prototype 2 | PS3,339,0.28,0.11,0.38,79.0,0.77,6.9
Pucca's Restaurant,0.08,Pucca's Restaurant | PS3,809,0.03,0.02,0.07,,0.2,
Puppeteer,0.02,Puppeteer | PS3,691,0.09,0.04,0.11,80.0,0.27,8.5
Pure,,Pure | PS3,290,0.33,0.14,0.42,83.0,0.89,7.6
Pure (JP sales),,Pure (JP sales) | PS3,1389,,,,,,
Pure Futbol,,Pure Futbol | PS3,740,0.13,0.04,0.06,46.0,0.24,7.5
Puss in Boots,,Puss in Boots | PS3,1068,0.01,0.01,0.07,,0.09,
Putty Squad,,Putty Squad | PS3,1345,0.01,,,,0.01,
Puyo Puyo Tetris,0.05,Puyo Puyo Tetris | PS3,1171,,,,,0.05,
Q*bert: Rebooted,,Q*bert: Rebooted | PS3,1714,,,,,,
Quantum Conundrum,,Quantum Conundrum | PS3,1374,0.01,,,79.0,0.01,7.1
Quantum Theory,0.02,Quantum Theory | PS3,819,0.09,0.03,0.05,43.0,0.19,5.4
R.B.I. Baseball 14,,R.B.I. Baseball 14 | PS3,1715,,,,,,
R.U.S.E.,0.02,R.U.S.E. | PS3,486,0.22,0.08,0.18,76.0,0.5,7.3
Racquet Sports,,Racquet Sports | PS3,605,0.17,0.06,0.11,45.0,0.34,4.3
Rage,0.06,Rage | PS3,171,0.59,0.2,0.47,81.0,1.32,6.3
Ragnarok Odyssey,,Ragnarok Odyssey | PS3,1207,,0.01,0.03,,0.04,
Raiden IV,,Raiden IV | PS3,1716,,,,,,
Railfan,0.01,Railfan | PS3,1337,,,,,0.01,
Railfan: Taiwan Takatetsu,,Railfan: Taiwan Takatetsu | PS3,1717,,,,,,
Rain (PS3),0.05,Rain (PS3) | PS3,1156,,,,,0.05,
Rango: The Video Game,,Rango: The Video Game | PS3,835,0.09,0.03,0.07,,0.19,
Rapala Fishing Frenzy 2009,,Rapala Fishing Frenzy 2009 | PS3,858,,0.01,0.16,31.0,0.17,4.4
Rapala Pro Bass Fishing 2010,,Rapala Pro Bass Fishing 2010 | PS3,685,0.06,0.03,0.18,,0.27,8.5
Ratatouille,,Ratatouille | PS3,481,0.32,0.1,0.09,,0.51,
Ratchet & Clank Collection,0.02,Ratchet & Clank Collection | PS3,346,0.14,0.12,0.47,83.0,0.75,8.4
Ratchet & Clank Future: A Crack in Time,0.03,Ratchet & Clank Future: A Crack in Time | PS3,108,0.55,0.26,1.05,87.0,1.89,8.9
Ratchet & Clank Future: Tools of Destruction,0.08,Ratchet & Clank Future: Tools of Destruction | PS3,69,1.1,0.45,0.93,89.0,2.57,8.8
Ratchet & Clank: All 4 One,0.05,Ratchet & Clank: All 4 One | PS3,203,0.22,0.13,0.75,70.0,1.15,6.5
Ratchet & Clank: Full Frontal Assault,,Ratchet & Clank: Full Frontal Assault | PS3,715,0.01,0.05,0.19,64.0,0.25,7.4
Ratchet & Clank: Going Commando,,Ratchet & Clank: Going Commando | PS3,1718,,,,,,8.3
Ratchet & Clank: Into the Nexus,,Ratchet & Clank: Into the Nexus | PS3,371,0.28,0.12,0.3,76.0,0.69,8.4
Ratchet & Clank: Quest for Booty,,Ratchet & Clank: Quest for Booty | PS3,454,0.52,0.03,,,0.55,
Ratchet & Clank: Tools of Destruction and Ratchet & Clank: A Crack in Time,,Ratchet & Clank: Tools of Destruction and Ratchet & Clank: A Crack in Time | PS3,1413,,,,,,
Raven's Cry,,Raven's Cry | PS3,1390,,,,,,
Rayman Legends,,Rayman Legends | PS3,422,0.37,0.09,0.14,91.0,0.6,8.7
Rayman Origins,0.01,Rayman Origins | PS3,247,0.5,0.16,0.33,87.0,1.0,8.4
Record of Agarest War,0.03,Record of Agarest War | PS3,1113,0.03,0.01,,67.0,0.07,6.9
Record of Agarest War 2,0.04,Record of Agarest War 2 | PS3,919,,0.01,0.09,56.0,0.15,7.5
Record of Agarest War Zero,0.03,Record of Agarest War Zero | PS3,965,,0.01,0.09,50.0,0.13,6.7
Red Dead Redemption,0.17,Red Dead Redemption | PS3,16,2.58,1.0,2.82,95.0,6.57,8.9
Red Dead Redemption: Game of the Year Edition,,Red Dead Redemption: Game of the Year Edition | PS3,1296,0.01,,,,0.02,8.9
Red Dead Redemption: Undead Nightmare,0.06,Red Dead Redemption: Undead Nightmare | PS3,197,0.45,0.19,0.47,,1.18,7.6
Red Faction: Armageddon,0.03,Red Faction: Armageddon | PS3,508,0.15,0.07,0.2,71.0,0.46,7.3
Red Faction: Guerrilla,0.02,Red Faction: Guerrilla | PS3,352,0.27,0.12,0.33,85.0,0.74,8.0
Remember Me,,Remember Me | PS3,613,0.18,0.05,0.1,72.0,0.34,7.4
Rescue Dove,,Rescue Dove | PS3,1721,,,,,,
Resident Evil,0.13,Resident Evil | PS3,951,,,,,0.13,
Resident Evil (Remake),,Resident Evil (Remake) | PS3,1722,,,,,,
Resident Evil 4,,Resident Evil 4 | PS3,1723,,,,,,
Resident Evil 5,1.08,Resident Evil 5 | PS3,27,1.42,0.64,1.96,84.0,5.1,7.5
